piXuRfZ81xFGA64WFJrKkQ,"926 Broxton AveWestwoodLos Angeles, CA 90024","List(Food, Desserts, Bakeries, Ice Cream & Frozen Yogurt)",2634
VeiGa7h8p1I2yAIfgZjgtw,"393 Stanford Shopping CtrPalo Alto, CA 94304","List(Food, Bakeries)",1672
qHmamQPCAKkia9X0uryA8g,"2534 Durant AveTelegraph AveBerkeley, CA 94704","List(Restaurants, Hot Dogs)",1178
JrGSfjRqAtIZjjwC3FFQ4w,"1001 Higuera StSte ASan Luis Obispo, CA 93401","List(American (Traditional), Barbeque, Restaurants)",1072
VFslQjSgrw4Mu5_Q1xk1KQ,"529 Alma StPalo Alto, CA 94301","List(Steakhouses, Brazilian, Restaurants)",1071
r7Ggh7ejuBWjT0TQPW-ypA,"2399 Telegraph AveTelegraph AveBerkeley, CA 94704","List(Food, Desserts, Caterers, Event Planning & Services, Ice Cream & Frozen Yogurt)",934
pvlM--HZY1a8SqMXiwEz1A,"32 Church StHarvard SquareCambridge, MA 02138","List(Cajun/Creole, Tex-Mex, Restaurants)",924
BiZAzf2SAFCE0gJrX-PGFw,"2200 Oxford StDowntown BerkeleyBerkeley, CA 94704","List(American (New), Restaurants)",863
PUyZcKYvrNZLzgRfM9evRg,"105 N Hill AveSte 104PasadenaPasadena, CA 91106","List(Burgers, Restaurants, Hot Dogs)",808
j0C1t08TLW_iPPdC-8P_vQ,"2442 Telegraph AveTelegraph AveBerkeley, CA 94704","List(Soup, Sandwiches, Restaurants)",795
